handle,perfil_proceso,complejidad,anchor_handle,factor_escala,material,subconjunto,dimensiones,precio_kg_u,real_kg_ml,real_cantidad,real_total_clp,anchor_total_clp,extrap_total_clp,extrap_cantidad,dev_clp,dev_pct,in_anchor_bom
basurero-conico-bacon-0410,p-basurero-cil,C2,basurero-plaza-con-cenicero-bapla-0470,0.940334,AISI 304-L 1.5 mm,,ø 407 ext x ø 367 int x 20 mm,3600,0.29,1.0,1044,576,542,0.9403,-502,-48.1%,Sí
basurero-conico-bacon-0410,p-basurero-cil,C2,basurero-plaza-con-cenicero-bapla-0470,0.940334,AISI 304-L 1.5 mm,,ø 337 ext x ø 287 int x 25 mm,3600,0.24,1.0,864,576,542,0.9403,-322,-37.3%,Sí
basurero-conico-bacon-0410,p-basurero-cil,C2,basurero-plaza-con-cenicero-bapla-0470,0.940334,AISI 304-L 1 mm,,358 x 486 mm,3600,0.57,1.0,2052,252,237,0.9403,-1815,-88.5%,Sí
basurero-conico-bacon-0410,p-basurero-cil,C2,basurero-plaza-con-cenicero-bapla-0470,0.940334,AISI 304-L 1 mm,,15 x 535 mm,3600,0.064,1.0,230,252,237,0.9403,7,3.0%,Sí
basurero-conico-bacon-0410,p-basurero-cil,C2,basurero-plaza-con-cenicero-bapla-0470,0.940334,AISI 304-L 1 mm,,20 x 1278 mm,3600,0.205,1.0,738,252,237,0.9403,-501,-67.9%,Sí
basurero-conico-bacon-0410,p-basurero-cil,C2,basurero-plaza-con-cenicero-bapla-0470,0.940334,AISI 304-L 1 mm,,271 x 1085 mm,3600,0.72,1.0,2592,252,237,0.9403,-2355,-90.9%,Sí
basurero-conico-bacon-0410,p-basurero-cil,C2,basurero-plaza-con-cenicero-bapla-0470,0.940334,AISI 304-L 1 mm,,1190 x 739 mm,3600,6.26,1.0,22536,252,237,0.9403,-22299,-98.9%,Sí
basurero-conico-bacon-0410,p-basurero-cil,C2,basurero-plaza-con-cenicero-bapla-0470,0.940334,AISI 304-L 1.5 mm,,ø 350 mm,3600,0.77,1.0,2772,576,542,0.9403,-2230,-80.4%,Sí
basurero-conico-bacon-0410,p-basurero-cil,C2,basurero-plaza-con-cenicero-bapla-0470,0.940334,Logo,,1,3600,1.0,1.0,3600,3600,3385,0.9403,-215,-6.0%,Sí
basurero-de-reciclaje-de-3-compartimientos-bare-0960,p-basurero-cil,C3,basurero-de-reciclaje-4-compartimientos-nuevo-modelo-baren-01300,0.704681,AISI 304-L 1.5 mm,,210 x 960 mm,3600,1.76,1.0,6336,(no en ancla),(no en ancla),,,,No — línea nueva
